coc_number,coc_name,coc_category,year,overall_homeless,homeless_rate_total_pop,homeless_rate_in_poverty,homeless_per_1000_total_pop,homeless_per_1000_in_poverty,coc_pop,coc_poverty_pop,coc_poverty_rate,avg_renter_share,avg_fmr0,avg_fmr1,avg_fmr2,avg_fmr3,avg_fmr4,fmr0_pct_coc_na_rent,fmr1_pct_coc_na_rent,fmr2_pct_coc_na_rent,fmr3_pct_coc_na_rent,fmr4_pct_coc_na_rent,coc_rent_zillow,coc_share_na_rent_zillow,share_rent_over_30_pct_inc,share_rent_over_50_pct_inc,median_rent_burden,gross_vacancy_rate,rental_vacancy_rate,coc_unemployment_rate,share_na_coc_unemployment_rate,shr_hh_with_snap,shr_hh_with_pub_assist,shr_hh_with_snap_or_pub_assist,shr_hh_with_ssi,shr_with_medicaid
PA-500,Philadelphia CoC,Major City CoC,2017,5693,0.0036269070249105376,0.014452026279180756,3.6269070249105377,14.452026279180757,1569657,393924,0.2509618343370558,0.47792078203220134,845,1003,1211,1515,1686,0,0,0,0,0,1238.634494766714,0.4745133509495255,0.5581320296905442,0.32493057464669767,0.3607224836555383,0.13031199807023633,0.07071459814991819,0.065,0,0.245088621296171,0.06763800568258693,0.2588485996482208,0.1043397375186037,0.23064851393779
PA-500,Philadelphia CoC,Major City CoC,2018,5788,0.003673703064762028,0.015196666605403902,3.6737030647620283,15.196666605403902,1575522,380873,0.24174400611352936,0.47022754708479464,883,1047,1266,1587,1787,0,0,0,0,0,1278.2794959849273,0.47407139686698,0.548318564717001,0.31909974576370476,0.35520327681754016,0.12903192740297528,0.06786365604376861,0.062,0,0.2554062187908766,0.06510664483218949,0.2678074844731984,0.1048609733379513,0.24764591402433556
PA-500,Philadelphia CoC,Major City CoC,2019,5735,0.0036318730902585375,0.015345425939255124,3.6318730902585377,15.345425939255124,1579075,373727,0.23667463546696643,0.4697282887964652,840,992,1200,1503,1715,0,0,0,0,0,1315.6461302035596,0.4715934593942248,0.5429243267998507,0.313364711496646,0.3494396753918068,0.12335922420680044,0.06132744809547164,0.059000000000000004,0,0.2578620640339776,0.06073299996507782,0.2692799545013861,0.10362409098392415,0.26009676433537304
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2011,394,0.0014780025208570914,0.012317503985994311,1.4780025208570913,12.31750398599431,266576,31987,0.11999204729608066,0.34745990170944124,549,627,790,997,1033,0,0,0,0,0,NA,0,0.4322045885315002,0.21375427876318992,0.2739102357301482,0.09908279829900775,0.0872674570552876,0.079,0,0.09975288531842624,0.030255351837626218,0.10610197414088314,0.04436032467352171,NA
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2012,386,0.0014408845388609547,0.011565196548418024,1.4408845388609546,11.565196548418024,267891,33376,0.12458798541197726,0.35039260713359754,523,598,753,950,985,0,0,0,0,0,NA,0,0.44396310788149806,0.22467859139183902,0.2759789365760251,0.10229256371465147,0.08633212671824354,0.077,0,0.10838364383866068,0.03143634949442572,0.1146153561243009,0.051918589577391754,0.10841129356910671
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2013,390,0.001449625513409036,0.011154011154011155,1.449625513409036,11.154011154011155,269035,34965,0.12996450275986396,0.35607501539083536,632,704,899,1160,1201,0,0,0,0,0,NA,0,0.44656206358334016,0.22612886442673677,0.283188088362854,0.09824506164655973,0.08076159327181404,0.078,0,0.1115123448282199,0.029210427176080345,0.11799946706361239,0.05293528498313899,0.10666730558434012
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2014,396,0.0014669600586784024,0.010955872181491216,1.4669600586784024,10.955872181491216,269946,36145,0.13389714980033043,0.3573977088244196,594,662,845,1090,1129,0,0,0,0,0,995.857142857143,0.9111805346189382,0.4734042553191489,0.23750681942171303,0.2846003480669187,0.09988028895768834,0.08083463211519226,0.062,0,0.12085079842607795,0.03261577407431187,0.1277848606308529,0.05944399093802453,0.11519890867970586
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2015,402,0.0014828804768825573,0.011083845708456257,1.4828804768825574,11.083845708456257,271094,36269,0.13378754232849122,0.3652244510732237,608,678,866,1117,1157,0,0,0,0,0,1002,0.9094230781714033,0.47040846155890403,0.23003534507959286,0.28522330053650585,0.09809454856597502,0.07274929719104975,0.054000000000000006,0,0.12450854291526413,0.03418078322979667,0.13220765715223995,0.06098172828694708,0.1215868601202022
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2016,433,0.0015921341952184497,0.012044506258692628,1.5921341952184498,12.044506258692628,271962,35950,0.13218758503026157,0.36752229813720955,596,704,886,1132,1214,0,0,0,0,0,1047.1666666666667,0.9086477566804355,0.46668236402166235,0.23148366166967532,0.2876225281473147,0.09580848148725479,0.06564735906667274,0.047,0,0.1283900881037283,0.032646469045739535,0.13623866946130603,0.05714493108673363,0.13379923533036958
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2017,460,0.001682953510238577,0.012951908998761122,1.6829535102385769,12.951908998761123,273329,35516,0.12993864536876804,0.36462790051036426,609,737,918,1181,1265,0,0,0,0,0,1054.1,0.9067880473794018,0.4658989559834216,0.2396516447195845,0.2868823944769856,0.09503478169111261,0.0642295866074479,0.048,0,0.1251692992133753,0.03205697423064159,0.13239871198055414,0.055628806429333835,0.13962729431297266
